instance_name,solver_name,total_distance_km,solve_time_seconds,optimality_gap_percent,num_locations,source_file
clustered_location_3,Branch & Bound,4.894,0.0042989253997802734,0.0,10,visualization/output/clustered_location_3_routes.json
clustered_location_3,Held-Karp (DP),4.894,0.010982275009155273,0.0,10,visualization/output/clustered_location_3_routes.json
clustered_location_3,Nearest Neighbor,5.77,7.82012939453125e-05,17.89946873722925,10,visualization/output/clustered_location_3_routes.json
clustered_location_3,RL Solver,5.372,0.012552976608276367,9.767061708214134,10,visualization/output/clustered_location_3_routes.json
,,,,,,
clustered_location_4,Branch & Bound,21.673000000000002,0.030091047286987305,0.0,10,visualization/output/clustered_location_4_routes.json
clustered_location_4,Held-Karp (DP),21.673000000000002,0.010440826416015625,0.0,10,visualization/output/clustered_location_4_routes.json
clustered_location_4,Nearest Neighbor,26.043000000000003,6.580352783203125e-05,20.163336870760855,10,visualization/output/clustered_location_4_routes.json
clustered_location_4,RL Solver,27.722000000000005,0.0026581287384033203,27.91030314215846,10,visualization/output/clustered_location_4_routes.json
,,,,,,
clustered_location_6,Branch & Bound,58.199,0.027718067169189453,0.0,10,visualization/output/clustered_location_6_routes.json
clustered_location_6,Held-Karp (DP),58.199,0.010404825210571289,0.0,10,visualization/output/clustered_location_6_routes.json
clustered_location_6,Nearest Neighbor,59.104,7.390975952148438e-05,1.5550095362463292,10,visualization/output/clustered_location_6_routes.json
clustered_location_6,RL Solver,65.303,0.002479076385498047,12.206395298888296,10,visualization/output/clustered_location_6_routes.json
,,,,,,
clustered_location_7,Branch & Bound,15.188,0.03585028648376465,0.0,10,visualization/output/clustered_location_7_routes.json
clustered_location_7,Held-Karp (DP),15.188,0.010416984558105469,0.0,10,visualization/output/clustered_location_7_routes.json
clustered_location_7,Nearest Neighbor,18.209000000000003,6.29425048828125e-05,19.89070318672638,10,visualization/output/clustered_location_7_routes.json
clustered_location_7,RL Solver,19.216,0.009182929992675781,26.52093758230182,10,visualization/output/clustered_location_7_routes.json
,,,,,,
clustered_location_8,Branch & Bound,11.54,0.015228986740112305,0.0,10,visualization/output/clustered_location_8_routes.json
clustered_location_8,Held-Karp (DP),11.54,0.008424997329711914,0.0,10,visualization/output/clustered_location_8_routes.json
clustered_location_8,Nearest Neighbor,14.079,9.703636169433594e-05,22.001733102253045,10,visualization/output/clustered_location_8_routes.json
clustered_location_8,RL Solver,13.956000000000001,0.0074999332427978516,20.935875216637804,10,visualization/output/clustered_location_8_routes.json
,,,,,,
clustered_location_9,Branch & Bound,36.158,0.056862831115722656,0.0,10,visualization/output/clustered_location_9_routes.json
clustered_location_9,Held-Karp (DP),36.158,0.005413055419921875,0.0,10,visualization/output/clustered_location_9_routes.json
